RecNum	DateTime	KAUST_LT_Tank1-S33.5A
463	07/28/19 08:30:00 AM	36.728
464	07/28/19 08:35:00 AM	36.728
465	07/28/19 08:40:00 AM	36.728
466	07/28/19 08:45:00 AM	36.728
467	07/28/19 08:50:00 AM	36.728
468	07/28/19 08:55:00 AM	36.620
469	07/28/19 09:00:00 AM	36.728
470	07/28/19 09:05:00 AM	36.728
471	07/28/19 09:10:00 AM	36.728
472	07/28/19 09:15:00 AM	36.728
473	07/28/19 09:20:00 AM	36.728
474	07/28/19 09:25:00 AM	36.728
475	07/28/19 09:30:00 AM	36.728
476	07/28/19 09:35:00 AM	36.728
477	07/28/19 09:40:00 AM	36.728
478	07/28/19 09:45:00 AM	36.728
479	07/28/19 09:50:00 AM	36.728
480	07/28/19 09:55:00 AM	36.728
481	07/28/19 10:00:00 AM	36.728
482	07/28/19 10:05:00 AM	36.728
483	07/28/19 10:10:00 AM	36.728
484	07/28/19 10:15:00 AM	36.728
485	07/28/19 10:20:00 AM	36.728
486	07/28/19 10:25:00 AM	36.728
487	07/28/19 10:30:00 AM	36.728
488	07/28/19 10:35:00 AM	36.728
489	07/28/19 10:40:00 AM	36.728
490	07/28/19 10:45:00 AM	36.728
491	07/28/19 10:50:00 AM	36.728
492	07/28/19 10:55:00 AM	36.620
493	07/28/19 11:00:00 AM	36.728
494	07/28/19 11:05:00 AM	36.728
495	07/28/19 11:10:00 AM	36.620
496	07/28/19 11:15:00 AM	36.620
497	07/28/19 11:20:00 AM	36.620
498	07/28/19 11:25:00 AM	36.728
499	07/28/19 11:30:00 AM	36.728
500	07/28/19 11:35:00 AM	36.728
501	07/28/19 11:40:00 AM	36.728
502	07/28/19 11:45:00 AM	36.620
503	07/28/19 11:50:00 AM	36.728
504	07/28/19 11:55:00 AM	36.728
505	07/28/19 12:00:00 PM	36.728
506	07/28/19 12:05:00 PM	36.728
507	07/28/19 12:10:00 PM	36.620
508	07/28/19 12:15:00 PM	36.728
509	07/28/19 12:20:00 PM	36.728
510	07/28/19 12:25:00 PM	36.728
511	07/28/19 12:30:00 PM	36.728
512	07/28/19 12:35:00 PM	36.728
513	07/28/19 12:40:00 PM	36.620
514	07/28/19 12:45:00 PM	36.620
515	07/28/19 12:50:00 PM	36.620
516	07/28/19 12:55:00 PM	36.620
517	07/28/19 01:00:00 PM	36.620
518	07/28/19 01:05:00 PM	36.728
519	07/28/19 01:10:00 PM	36.620
520	07/28/19 01:15:00 PM	36.728
521	07/28/19 01:20:00 PM	36.728
522	07/28/19 01:25:00 PM	36.728
523	07/28/19 01:30:00 PM	36.620
524	07/28/19 01:35:00 PM	36.620
525	07/28/19 01:40:00 PM	36.620
526	07/28/19 01:45:00 PM	36.620
527	07/28/19 01:50:00 PM	35.115
