RecNum	DateTime	KAUST_LT_Tank14-Control_32B
614	07/28/19 09:05:00 PM	29.752
615	07/28/19 09:10:00 PM	29.853
616	07/28/19 09:15:00 PM	29.853
617	07/28/19 09:20:00 PM	29.853
618	07/28/19 09:25:00 PM	29.853
619	07/28/19 09:30:00 PM	29.752
620	07/28/19 09:35:00 PM	29.752
621	07/28/19 09:40:00 PM	29.752
622	07/28/19 09:45:00 PM	29.752
623	07/28/19 09:50:00 PM	29.853
624	07/28/19 09:55:00 PM	29.953
625	07/28/19 10:00:00 PM	29.853
626	07/28/19 10:05:00 PM	29.752
627	07/28/19 10:10:00 PM	29.752
628	07/28/19 10:15:00 PM	29.752
629	07/28/19 10:20:00 PM	29.853
630	07/28/19 10:25:00 PM	29.853
631	07/28/19 10:30:00 PM	29.853
632	07/28/19 10:35:00 PM	29.853
633	07/28/19 10:40:00 PM	29.853
634	07/28/19 10:45:00 PM	29.752
635	07/28/19 10:50:00 PM	29.752
636	07/28/19 10:55:00 PM	29.853
637	07/28/19 11:00:00 PM	29.853
638	07/28/19 11:05:00 PM	29.752
639	07/28/19 11:10:00 PM	29.752
640	07/28/19 11:15:00 PM	29.752
641	07/28/19 11:20:00 PM	29.752
642	07/28/19 11:25:00 PM	29.752
643	07/28/19 11:30:00 PM	29.752
644	07/28/19 11:35:00 PM	29.853
645	07/28/19 11:40:00 PM	29.853
646	07/28/19 11:45:00 PM	29.853
647	07/28/19 11:50:00 PM	29.853
648	07/28/19 11:55:00 PM	29.853
649	07/29/19 12:00:00 AM	29.752
650	07/29/19 12:05:00 AM	29.652
651	07/29/19 12:10:00 AM	29.652
652	07/29/19 12:15:00 AM	29.752
653	07/29/19 12:20:00 AM	29.853
654	07/29/19 12:25:00 AM	29.853
655	07/29/19 12:30:00 AM	29.853
656	07/29/19 12:35:00 AM	29.652
657	07/29/19 12:40:00 AM	29.652
658	07/29/19 12:45:00 AM	29.752
